GEN_TPS_1,GEN_TPS_2,DispatchGen
C-Residential_PV,55,0.0
C-Residential_PV,56,0.0
C-Residential_PV,57,0.0
C-Residential_PV,58,0.0
C-Residential_PV,59,0.0
C-Residential_PV,60,0.0
C-Residential_PV,61,0.0
C-Residential_PV,62,0.0
C-Residential_PV,63,0.0
C-Residential_PV,64,0.0
C-Residential_PV,65,0.0
C-Residential_PV,66,0.0
C-Residential_PV,67,0.0
C-Residential_PV,68,0.0
C-Residential_PV,69,0.0
C-Residential_PV,70,0.0
C-Residential_PV,71,0.0
C-Residential_PV,72,0.0
C-Residential_PV,73,0.0
C-Residential_PV,74,0.0
C-Residential_PV,75,0.0
C-Residential_PV,76,0.0
C-Residential_PV,77,0.0
C-Residential_PV,78,0.0
C-Residential_PV,79,0.0
C-Residential_PV,80,0.0
C-Residential_PV,81,0.0
C-Residential_PV,82,0.0
C-Residential_PV,83,0.0
C-Residential_PV,84,0.0
C-Residential_PV,85,0.0
C-Residential_PV,86,0.0
C-Residential_PV,87,0.0
C-Residential_PV,88,0.0
C-Residential_PV,89,0.0
C-Residential_PV,90,0.0
C-Residential_PV,91,0.0
C-Residential_PV,92,0.0
C-Residential_PV,93,0.0
C-Residential_PV,94,0.0
C-Residential_PV,95,0.0
C-Residential_PV,96,0.0
C-Wind-1,1,0.0
C-Wind-1,2,0.0
C-Wind-1,3,0.0
C-Wind-1,4,1.988
C-Wind-1,5,0.87472
C-Wind-1,6,0.1988
C-Wind-1,7,0.0
C-Wind-1,8,3.1808
C-Wind-1,9,3.1808
C-Wind-1,10,0.0
C-Wind-1,11,3.1808
C-Wind-1,12,3.1808
C-Wind-1,13,0.0
C-Wind-1,14,0.0
C-Wind-1,15,0.0
C-Wind-1,16,0.0
C-Wind-1,17,3.1808
C-Wind-1,18,0.0
C-Wind-1,19,3.1808
C-Wind-1,20,3.1808
C-Wind-1,21,3.1808
C-Wind-1,22,3.1808
C-Wind-1,23,3.1808
C-Wind-1,24,0.0
C-Wind-1,25,0.0
C-Wind-1,26,0.0
C-Wind-1,27,0.0
C-Wind-1,28,3.1808
C-Wind-1,29,3.1808
C-Wind-1,30,3.1808
C-Wind-1,31,3.1808
C-Wind-1,32,3.1808
C-Wind-1,33,0.0
C-Wind-1,34,3.1808
C-Wind-1,35,3.1808
C-Wind-1,36,3.1808
C-Wind-1,37,3.1808
C-Wind-1,38,3.1808
C-Wind-1,39,0.0
C-Wind-1,40,0.0
C-Wind-1,41,0.0
C-Wind-1,42,0.0
C-Wind-1,43,3.1808
C-Wind-1,44,3.1808
C-Wind-1,45,3.1808
C-Wind-1,46,0.0
C-Wind-1,47,3.1808
C-Wind-1,48,3.1808
C-Wind-1,49,3.1808
C-Wind-1,50,3.1808
C-Wind-1,51,3.1808
C-Wind-1,52,3.1808
C-Wind-1,53,3.1808
C-Wind-1,54,3.1808
C-Wind-1,55,3.1808
C-Wind-1,56,3.1808
C-Wind-1,57,3.1808
C-Wind-1,58,3.1808
C-Wind-1,59,3.1808
C-Wind-1,60,3.1808
C-Wind-1,61,3.1808
C-Wind-1,62,3.1808
C-Wind-1,63,3.1808
C-Wind-1,64,3.1808
C-Wind-1,65,3.1808
C-Wind-1,66,3.1808
C-Wind-1,67,3.1808
C-Wind-1,68,3.1808
C-Wind-1,69,3.1808
C-Wind-1,70,3.1808
C-Wind-1,71,3.1808
C-Wind-1,72,3.1808
C-Wind-1,73,3.1808
C-Wind-1,74,3.1808
C-Wind-1,75,3.1808
C-Wind-1,76,3.1808
C-Wind-1,77,3.1808
C-Wind-1,78,3.1808
C-Wind-1,79,3.1808
C-Wind-1,80,3.1808
C-Wind-1,81,3.1808
C-Wind-1,82,3.1808
C-Wind-1,83,3.1808
C-Wind-1,84,3.1808
C-Wind-1,85,3.1808
C-Wind-1,86,3.1808
C-Wind-1,87,3.1808
C-Wind-1,88,3.1808
C-Wind-1,89,3.1808
C-Wind-1,90,3.1808
C-Wind-1,91,3.1808
C-Wind-1,92,3.1808
C-Wind-1,93,3.1808
C-Wind-1,94,3.1808
C-Wind-1,95,3.1808
C-Wind-1,96,3.1808
C-Wind-2,1,1.8488399999999998
C-Wind-2,2,1.07352
C-Wind-2,3,0.0
C-Wind-2,4,1.43136
C-Wind-2,5,0.41748
C-Wind-2,6,0.1491
C-Wind-2,7,0.0
C-Wind-2,8,0.0
C-Wind-2,9,2.56452
C-Wind-2,10,2.56452
C-Wind-2,11,0.0
C-Wind-2,12,0.0
C-Wind-2,13,0.0
C-Wind-2,14,0.0
C-Wind-2,15,2.56452
C-Wind-2,16,2.56452
C-Wind-2,17,2.56452
C-Wind-2,18,2.56452
C-Wind-2,19,2.56452
C-Wind-2,20,2.56452
C-Wind-2,21,2.56452
C-Wind-2,22,2.56452
C-Wind-2,23,0.0
C-Wind-2,24,0.0
C-Wind-2,25,2.56452
C-Wind-2,26,0.0
C-Wind-2,27,0.0
C-Wind-2,28,0.0
C-Wind-2,29,2.56452
C-Wind-2,30,0.0
C-Wind-2,31,0.0
C-Wind-2,32,2.56452
C-Wind-2,33,0.0
C-Wind-2,34,2.56452
C-Wind-2,35,2.56452
C-Wind-2,36,2.56452
C-Wind-2,37,2.56452
C-Wind-2,38,2.56452
C-Wind-2,39,0.0
C-Wind-2,40,0.0
C-Wind-2,41,0.0
C-Wind-2,42,0.0
C-Wind-2,43,2.56452
C-Wind-2,44,2.56452
C-Wind-2,45,2.56452
C-Wind-2,46,2.56452
C-Wind-2,47,0.0
C-Wind-2,48,0.0
C-Wind-2,49,2.56452
C-Wind-2,50,2.56452
C-Wind-2,51,2.56452
C-Wind-2,52,2.56452
C-Wind-2,53,2.56452
C-Wind-2,54,2.56452
C-Wind-2,55,2.56452
C-Wind-2,56,2.56452
C-Wind-2,57,2.56452
C-Wind-2,58,2.56452
C-Wind-2,59,2.56452
C-Wind-2,60,2.56452
C-Wind-2,61,2.56452
C-Wind-2,62,2.56452
C-Wind-2,63,2.56452
C-Wind-2,64,2.56452
C-Wind-2,65,2.56452
C-Wind-2,66,2.56452
C-Wind-2,67,2.56452
C-Wind-2,68,2.56452
C-Wind-2,69,2.56452
C-Wind-2,70,2.56452
C-Wind-2,71,2.56452
C-Wind-2,72,2.56452
C-Wind-2,73,2.56452
C-Wind-2,74,2.56452
C-Wind-2,75,2.56452
C-Wind-2,76,2.56452
C-Wind-2,77,2.56452
C-Wind-2,78,2.56452
C-Wind-2,79,2.56452
C-Wind-2,80,2.56452
C-Wind-2,81,2.56452
C-Wind-2,82,2.56452
C-Wind-2,83,2.56452
C-Wind-2,84,2.56452
C-Wind-2,85,2.56452
C-Wind-2,86,2.56452
C-Wind-2,87,2.56452
C-Wind-2,88,2.56452
C-Wind-2,89,2.56452
C-Wind-2,90,2.56452
C-Wind-2,91,2.56452
C-Wind-2,92,2.56452
C-Wind-2,93,2.56452
C-Wind-2,94,2.56452
C-Wind-2,95,2.56452
C-Wind-2,96,2.56452
G106344,1,0.0
G106344,2,0.0
G106344,3,0.0
G106344,4,0.0
G106344,5,0.0
G106344,6,0.0
G106344,7,0.0
G106344,8,0.0
G106344,9,0.0
G106344,10,0.0
G106344,11,0.0
G106344,12,0.0
G106344,13,0.0
G106344,14,0.0
G106344,15,0.0
G106344,16,0.0
G106344,17,0.0
G106344,18,0.0
G106344,19,0.0
G106344,20,0.0
G106344,21,0.0
G106344,22,0.0
G106344,23,0.0
G106344,24,0.0
G106344,25,0.0
G106344,26,0.0
G106344,27,0.0
G106344,28,0.0
G106344,29,0.0
G106344,30,0.0
G106344,31,0.0
G106344,32,0.0
G106344,33,0.0
G106344,34,0.0
G106344,35,0.0
G106344,36,0.0
G106344,37,0.0
G106344,38,0.0
G106344,39,0.0
G106344,40,0.0
G106344,41,0.0
G106344,42,0.0
G106344,43,0.0
G106344,44,0.0
G106344,45,0.0
G106344,46,0.0
G106344,47,0.0
G106344,48,0.0
G106344,49,0.0
G106344,50,0.0
G106344,51,0.0
G106344,52,0.0
G106344,53,0.0
G106344,54,0.0
G106344,55,0.0
G106344,56,0.0
G106344,57,0.0
G106344,58,0.0
G106344,59,0.0
G106344,60,0.0
G106344,61,0.0
G106344,62,0.0
G106344,63,0.0
G106344,64,0.0
G106344,65,0.0
G106344,66,0.0
G106344,67,0.0
G106344,68,0.0
G106344,69,0.0
G106344,70,0.0
G106344,71,0.0
G106344,72,0.0
G106344,73,0.0
G106344,74,0.0
G106344,75,0.0
G106344,76,0.0
G106344,77,0.0
G106344,78,0.0
G106344,79,0.0
G106344,80,0.0
G106344,81,0.0
G106344,82,0.0
G106344,83,0.0
G106344,84,0.0
G106344,85,0.0
G106344,86,0.0
G106344,87,0.0
G106344,88,0.0
G106344,89,0.0
G106344,90,0.0
G106344,91,0.0
G106344,92,0.0
G106344,93,0.0
G106344,94,0.0
G106344,95,0.0
G106344,96,0.0
G106345,1,0.0
G106345,2,0.0
G106345,3,0.0
G106345,4,0.0
G106345,5,0.0
G106345,6,0.0
G106345,7,0.0
G106345,8,0.0
G106345,9,0.0
G106345,10,0.0
G106345,11,0.0
G106345,12,0.0
G106345,13,0.0
G106345,14,0.0
G106345,15,0.0
G106345,16,0.0
G106345,17,0.0
G106345,18,0.0
G106345,19,0.0
G106345,20,0.0
G106345,21,0.0
G106345,22,0.0
G106345,23,0.0
G106345,24,0.0
G106345,25,0.0
G106345,26,0.0
G106345,27,0.0
G106345,28,0.0
G106345,29,0.0
G106345,30,0.0
G106345,31,0.0
G106345,32,0.0
G106345,33,0.0
G106345,34,0.0
G106345,35,0.0
G106345,36,0.0
G106345,37,0.0
G106345,38,0.0
G106345,39,0.0
G106345,40,0.0
G106345,41,0.0
G106345,42,0.0
G106345,43,0.0
G106345,44,0.0
G106345,45,0.0
G106345,46,0.0
G106345,47,0.0
G106345,48,0.0
G106345,49,0.0
G106345,50,0.0
G106345,51,0.0
G106345,52,0.0
G106345,53,0.0
G106345,54,0.0
G106345,55,0.0
G106345,56,0.0
G106345,57,0.0
G106345,58,0.0
G106345,59,0.0
G106345,60,0.0
G106345,61,0.0
G106345,62,0.0
G106345,63,0.0
G106345,64,0.0
G106345,65,0.0
G106345,66,0.0
G106345,67,0.0
G106345,68,0.0
G106345,69,0.0
G106345,70,0.0
G106345,71,0.0
G106345,72,0.0
G106345,73,0.0
G106345,74,0.0
G106345,75,0.0
G106345,76,0.0
G106345,77,0.0
G106345,78,0.0
G106345,79,0.0
G106345,80,0.0
G106345,81,0.0
G106345,82,0.0
G106345,83,0.0
G106345,84,0.0
G106345,85,0.0
G106345,86,0.0
G106345,87,0.0
G106345,88,0.0
G106345,89,0.0
G106345,90,0.0
G106345,91,0.0
G106345,92,0.0
G106345,93,0.0
G106345,94,0.0
G106345,95,0.0
G106345,96,0.0
G106346,1,94.04529115193529
G106346,2,94.04529115193529
G106346,3,94.04529115193529
G106346,4,94.04529115193529
G106346,5,94.04529115193529
G106346,6,94.04529115193529
G106346,7,94.04529115193529
G106346,8,94.04529115193529
G106346,9,94.04529115193529
G106346,10,94.04529115193529
G106346,11,94.04529115193529
G106346,12,94.04529115193529
G106346,13,94.04529115193529
G106346,14,94.04529115193529
G106346,15,94.04529115193529
G106346,16,94.04529115193529
G106346,17,94.04529115193529
G106346,18,94.04529115193529
G106346,19,94.04529115193529
G106346,20,94.04529115193529
G106346,21,94.04529115193529
G106346,22,94.04529115193529
G106346,23,94.04529115193529
G106346,24,94.04529115193529
G106346,25,94.04529115193529
G106346,26,94.04529115193529
G106346,27,94.04529115193529
G106346,28,94.04529115193529
G106346,29,94.04529115193529
G106346,30,94.04529115193529
G106346,31,94.04529115193529
G106346,32,94.04529115193529
G106346,33,94.04529115193529
G106346,34,94.04529115193529
G106346,35,94.04529115193529
G106346,36,94.04529115193529
G106346,37,94.04529115193529
G106346,38,94.04529115193529
G106346,39,94.04529115193529
G106346,40,94.04529115193529
G106346,41,94.04529115193529
G106346,42,94.04529115193529
G106346,43,94.04529115193529
G106346,44,94.04529115193529
G106346,45,94.04529115193529
G106346,46,94.04529115193529
G106346,47,94.04529115193529
G106346,48,94.04529115193529
G106346,49,0.0
G106346,50,0.0
G106346,51,0.0
G106346,52,0.0
G106346,53,0.0
G106346,54,0.0
G106346,55,0.0
G106346,56,0.0
G106346,57,0.0
G106346,58,0.0
G106346,59,0.0
G106346,60,0.0
G106346,61,0.0
G106346,62,0.0
G106346,63,0.0
G106346,64,0.0
G106346,65,0.0
G106346,66,0.0
G106346,67,0.0
G106346,68,0.0
G106346,69,0.0
G106346,70,0.0
G106346,71,0.0
G106346,72,0.0
G106346,73,0.0
G106346,74,0.0
G106346,75,0.0
G106346,76,0.0
G106346,77,0.0
G106346,78,0.0
G106346,79,0.0
G106346,80,0.0
G106346,81,0.0
G106346,82,0.0
G106346,83,0.0
G106346,84,0.0
G106346,85,0.0
G106346,86,0.0
G106346,87,0.0
G106346,88,0.0
G106346,89,0.0
G106346,90,0.0
G106346,91,0.0
G106346,92,0.0
G106346,93,0.0
G106346,94,0.0
G106346,95,0.0
G106346,96,0.0
G106347,1,485.76
G106347,2,485.76
G106347,3,485.76
G106347,4,485.76
G106347,5,485.76
G106347,6,485.76
G106347,7,485.76
G106347,8,485.76
G106347,9,485.76
G106347,10,485.76
G106347,11,485.76
G106347,12,485.76
G106347,13,485.76
G106347,14,485.76
G106347,15,485.76
G106347,16,485.76
G106347,17,485.76
G106347,18,485.76
G106347,19,485.76
G106347,20,485.76
G106347,21,485.76
G106347,22,485.76
G106347,23,485.76
G106347,24,485.76
G106347,25,485.7600000000001
G106347,26,485.7600000000001
G106347,27,485.7600000000001
G106347,28,485.7600000000001
G106347,29,485.7600000000001
G106347,30,485.7600000000001
G106347,31,485.7600000000001
G106347,32,485.7600000000001
G106347,33,485.7600000000001
G106347,34,485.7600000000001
G106347,35,485.7600000000001
G106347,36,485.7600000000001
G106347,37,485.7600000000001
G106347,38,485.7600000000001
G106347,39,485.7600000000001
G106347,40,485.7600000000001
G106347,41,485.7600000000001
G106347,42,485.7600000000001
G106347,43,485.7600000000001
G106347,44,485.7600000000001
G106347,45,485.7600000000001
G106347,46,485.7600000000001
G106347,47,485.7600000000001
G106347,48,485.7600000000001
G106347,49,0.0
G106347,50,0.0
G106347,51,0.0
G106347,52,0.0
G106347,53,0.0
G106347,54,0.0
G106347,55,0.0
G106347,56,0.0
G106347,57,0.0
G106347,58,0.0
G106347,59,0.0
G106347,60,0.0
G106347,61,0.0
G106347,62,0.0
G106347,63,0.0
G106347,64,0.0
G106347,65,0.0
G106347,66,0.0
G106347,67,0.0
G106347,68,0.0
G106347,69,0.0
G106347,70,0.0
G106347,71,0.0
G106347,72,0.0
G106347,73,0.0
G106347,74,0.0
G106347,75,0.0
G106347,76,0.0
G106347,77,0.0
G106347,78,0.0
G106347,79,0.0
G106347,80,0.0
G106347,81,0.0
G106347,82,0.0
G106347,83,0.0
G106347,84,0.0
G106347,85,0.0
G106347,86,0.0
G106347,87,0.0
G106347,88,0.0
G106347,89,0.0
G106347,90,0.0
G106347,91,0.0
G106347,92,0.0
G106347,93,0.0
G106347,94,0.0
G106347,95,0.0
G106347,96,0.0
G106348,1,0.0
G106348,2,0.0
G106348,3,0.0
G106348,4,0.0
G106348,5,0.0
G106348,6,0.0
G106348,7,0.0
G106348,8,0.0
G106348,9,0.0
G106348,10,0.0
G106348,11,0.0
G106348,12,0.0
G106348,13,0.0
G106348,14,0.0
G106348,15,0.0
G106348,16,0.0
G106348,17,0.0
G106348,18,0.0
G106348,19,0.0
G106348,20,0.0
G106348,21,0.0
G106348,22,0.0
G106348,23,0.0
G106348,24,0.0
G106348,25,0.0
G106348,26,0.0
G106348,27,0.0
G106348,28,0.0
G106348,29,0.0
G106348,30,0.0
G106348,31,0.0
G106348,32,0.0
G106348,33,0.0
G106348,34,0.0
G106348,35,0.0
G106348,36,0.0
G106348,37,0.0
G106348,38,0.0
G106348,39,0.0
G106348,40,0.0
G106348,41,0.0
G106348,42,0.0
G106348,43,0.0
G106348,44,0.0
G106348,45,0.0
G106348,46,0.0
G106348,47,0.0
G106348,48,0.0
G106348,49,0.0
G106348,50,0.0
G106348,51,0.0
G106348,52,0.0
G106348,53,0.0
G106348,54,0.0
G106348,55,0.0
G106348,56,0.0
G106348,57,0.0
G106348,58,0.0
G106348,59,0.0
G106348,60,0.0
G106348,61,0.0
G106348,62,0.0
G106348,63,0.0
G106348,64,0.0
G106348,65,0.0
G106348,66,0.0
G106348,67,0.0
G106348,68,0.0
G106348,69,0.0
G106348,70,0.0
G106348,71,0.0
G106348,72,0.0
G106348,73,0.0
G106348,74,0.0
G106348,75,0.0
G106348,76,0.0
G106348,77,0.0
G106348,78,0.0
G106348,79,0.0
G106348,80,0.0
G106348,81,0.0
G106348,82,0.0
G106348,83,0.0
G106348,84,0.0
G106348,85,0.0
G106348,86,0.0
G106348,87,0.0
G106348,88,0.0
G106348,89,0.0
G106348,90,0.0
G106348,91,0.0
G106348,92,0.0
